Week,Treat,Drug,Class,Target,Common Side effects,Rare Side Effects,More info,,,,
9,thrombosis,rivaroxaban,direct acting oral anticoagulants (DOACs),inhibitor of Xa,"excess bleeding, anaemia, GI tract issues",kidney functions impairment,"lower liability for drug and dietary, no INR",,,,
9,ischaemic stroke ,alteplase,thrombolytic,increase active plasmin,"increase bleeding time, haemorrhage, ","haemorrhagic stroke, fatal outcomes","when PCI does not work, acute treatment, treat thromboembolism (short time winodw after it happens), must ensure a stroke patient has suffered from ischamic rather than haemorrhagic stroke",,,,
10,ventricular dysrhythmias in acute settings,lidocaine,class 1b,inactivated sodium voltage gated channels,"potential to cause dysrhythmias, exacerbate heart block","at high dose: CNS side effects, anxiety, dizziness, agitation, seizures, coma, respiratory depression","ideal for emergency use for rapid stabilization, used as local anaesthetics",,,,
10,supraventricular tachycardias,flecainide,class 1c,inactivated voltage gated sodiumchannels,"potential to cause dysrhythmias,, worsen heart block, dizziness, visual disturbancem fatigue",heart disease patients: dangerous ventricular tachycardias/ ventricular fibrillation,,,,,
10,dysrhythmias,amidarone,class 3,inactivated voltage gated potassium channels,"high iodine content, bradycardia and heart block, TDP","lung fibrosis, visual problems, liver toxicity, skin discoloration",,,,,
10,increase heart rate,atropine,unclassified antidysrhythmias drugs,"vagus nerve, M2 mAChRs","non selective mAChR antagonist that crosses BBB, constipation, blurred vision, dry mouth","confusion, delerium",,,,,
10,lower heart rate,adenosine,unclassified antidysrhythmias drugs,"AV node, KACh channel","bradycardia, flushing, chest pain, brochospasm, dyspnoea",,adenosine and theophylline (can affect treating dysrhythmias),,,,
11,Asthma,salbutamol,Short acting brochodilators (SABA),b2 adrenoceptor agonist,"muscle tremors, hypokalaemia, cramps, vasodilation, flushing and headaches","action at b1 recptors, tachycardia, palpitation, nervousness, anxiety when cross BBB",,,,,
11,Asthma,terbutaline,Short acting brochodilators (SABA),b2 adrenoceptor agonist,"muscle tremors, hypokalaemia, cramps, vasodilation, flushing and headaches","action at b1 recptors, tachycardia, palpitation, nervousness, anxiety when cross BBB",,,,,
11,Asthma,formoterol,Long acting brochodilators (LABA),b2 adrenoceptor agonist,"muscle tremors, hypokalaemia, cramps, vasodilation, flushing and headaches","action at b1 recptors, tachycardia, palpitation, nervousness, anxiety when cross BBB",,,,,
11,Asthma,salmeterol,Long acting brochodilators (LABA),b2 adrenoceptor agonist,"muscle tremors, hypokalaemia, cramps, vasodilation, flushing and headaches","action at b1 recptors, tachycardia, palpitation, nervousness, anxiety when cross BBB",,,,,
11,Asthma,montelukast,leukotriene receptor antagonist (LTRAs),leukotrienes,"abdominal pain, GI tract issues, headaches","depression, hallucinations",,,,,
11,Asthma,tiotropium,long acting muscarinic acetylcholine receptor antagonist (LAMA),block Ach from PS neurons,,,selective for M3 receptors in smooth muscles,,,,
11,Asthma,theophylline,alkylxanthine,inhibit phosphodiesterases (stop cAMP breakdown) + antagonist at adrenosine receptors,,"narrow therapeutic window ( x2 = toxic, x4 = fatal)","close to caffeine structure, reserve for not responding to other prescribed drugs",,,,
11,Asthma,hydrocortisone,glucocorticoids,glucocorticoids receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
11,Asthma,prednisolone,glucocorticoids,glucocorticoids receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
11,Asthma,dexamethasone,glucocorticoids,glucocorticoids receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
11,Asthma,aldosterone,mineralocorticoid,mineralocorticoid receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
11,Asthma,fludrocortisone,mineralocorticoid + glucocorticoids,mineralocorticoid receptors + glucocorticoids receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
